brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota,Fielder,2016,Automatic,Estate,CNG and OIL,1500,45852,1200000
Toyota,Starlet,1992,Automatic,Saloon,CNG and OIL,1300,15000,330000
Toyota,Carina,1998,Automatic,Saloon,CNG and OIL,1500,60720,200000
Toyota,Corolla,2009,Automatic,Saloon,CNG and OIL,1500,70000,950000
Toyota,Other Model,1996,Automatic,Estate,CNG and OIL,1331,120000,350000
Toyota,Fielder,2001,Automatic,Estate,CNG and OIL,1500,75000,799000
Toyota,Fielder,2001,Automatic,Estate,CNG and OIL,1500,79250,785000
Toyota,Probox,2003,Automatic,Estate,CNG and OIL,1300,84000,570000
Toyota,Probox,2003,Automatic,Estate,CNG and OIL,1500,68425,675000
Toyota,Probox,2003,Automatic,Estate,CNG and OIL,1500,85000,625000
Toyota,Succeed,2003,Automatic,Estate,CNG and OIL,1500,74500,599000
Toyota,Fielder,2004,Automatic,Estate,CNG and OIL,1500,75050,955000
Toyota,Fielder,2004,Automatic,Estate,CNG and OIL,1500,98112,935000
Toyota,Fielder,2004,Automatic,Estate,CNG and OIL,1500,68465,985000
Toyota,Fielder,2004,Automatic,Estate,CNG and OIL,1500,65000,1050000
Toyota,Fielder,2004,Automatic,Estate,CNG and OIL,1500,65000,1050000
Toyota,Probox,2004,Automatic,Estate,CNG and OIL,1300,65000,570000
Toyota,Probox,2004,Automatic,Estate,CNG and OIL,1500,90000,530000
Toyota,Spacio,2004,Automatic,Estate,CNG and OIL,1500,62300,668000
Toyota,Succeed,2004,Automatic,Estate,CNG and OIL,1500,54000,655000
Toyota,Wish,2004,Automatic,Estate,CNG and OIL,1800,88611,1085000
Toyota,Fielder,2005,Automatic,Estate,CNG and OIL,1500,59700,1030000
Toyota,Fielder,2005,Automatic,Estate,CNG and OIL,1500,62000,990000
Toyota,Succeed,2005,Automatic,Estate,CNG and OIL,1500,72000,780000
Toyota,Fielder,2006,Automatic,Estate,CNG and OIL,1500,55000,1050000
